节次,时间区间,周一（6-1）,周二（6-2）,周三（6-3）,周四（6-4）,周五（6-5）,周六（6-6）,周日（6-7）
第 1 节,08:30-09:15,概率论与数理统计李博文日新楼南 408,,智能汽车平台技术曾子铭格物园 B 座 104,,,,
第 2 节,09:20-10:05,概率论与数理统计李博文日新楼南 408,,智能汽车平台技术曾子铭格物园 B 座 104,,,,
第 3 节,10:25-11:10,工程力学一赵升升日新楼南 401,概率论与数理统计李博文日新楼南 408,智能汽车平台技术曾子铭格物园 B 座 104,概率论与数理统计李博文日新楼南 402,工程力学一赵升升日新楼南 401,,
第 4 节,11:15-12:00,工程力学一赵升升日新楼南 401,概率论与数理统计李博文日新楼南 408,智能汽车平台技术曾子铭格物园 B 座 104,概率论与数理统计李博文日新楼南 402,工程力学一赵升升日新楼南 401,,
第 5 节,14:00-14:45,智能汽车环境感知技术林艳艳908（格物园 E 座）,工程力学一赵升升日新楼南 401,大学体育（4）（排球）郑军B2 官龙山排球场 1,,,,
第 6 节,14:50-15:35,智能汽车环境感知技术林艳艳908（格物园 E 座）,工程力学一赵升升日新楼南 401,大学体育（4）（排球）郑军B2 官龙山排球场 1,,,,
第 7 节,15:45-16:30,智能汽车环境感知技术林艳艳908（格物园 E 座）,,,,,,
第 8 节,16:35-17:20,智能汽车环境感知技术林艳艳908（格物园 E 座）,,,,,,
第 9 节,17:30-18:15,,,,,,,
第 10 节,18:20-18:55,,,,,,,
第 11 节,19:05-19:50,,,,,,,
第 12 节,19:55-20:30,,,,,,,